"Production Type","2022 [MW]"
"Biomass","1179"
"Fossil Brown coal/Lignite","n/e"
"Fossil Coal-derived gas","n/e"
"Fossil Gas","603"
"Fossil Hard coal","1222"
"Fossil Oil","801"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","n/e"
"Hydro Pumped Storage","n/e"
"Hydro Run-of-river and poundage","0"
"Hydro Water Reservoir","n/e"
"Marine","n/e"
"Nuclear","n/e"
"Other","n/e"
"Other renewable","24"
"Solar","450"
"Waste","173"
"Wind Offshore","1028"
"Wind Onshore","756"
"Total Grand capacity","6236"
